#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
100,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,1655,3,-75,2143,Master
99,Codeforces Global Round 24,Nov/26/2022 17:05,290,5,+43,2218,Master
98,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,690,4,-30,2175,Master
97,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,126,5,+113,2205,Master
96,Dytechlab Cup 2022,Oct/07/2022 17:35,850,3,-35,2092,Candidate Master
95,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,596,2,-54,2127,Master
94,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,1158,4,-70,2181,Master
93,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,218,3,+60,2251,Master
92,Codeforces Round 789 (Div. 1),May/08/2022 17:35,597,3,-75,2191,Master
91,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,241,5,+81,2266,Master
90,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,477,3,-37,2185,Master
89,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,293,3,+38,2222,Master
88,Codeforces Global Round 19,Feb/12/2022 17:35,475,5,+28,2184,Master
87,Codeforces Round 769 (Div. 2),Jan/30/2022 17:35,105,4,+59,2156,Master
86,Hello 2022,Jan/03/2022 17:35,1214,3,-46,2097,Candidate Master
85,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,963,4,-28,2143,Master
84,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,544,3,-26,2171,Master
83,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,349,5,+48,2197,Master
82,Codeforces Global Round 17,Nov/23/2021 17:35,342,5,+61,2149,Master
81,Educational Codeforces Round 117 (Rated for Div. 2),Nov/22/2021 12:35,82,5,+57,2088,Candidate Master
80,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,418,2,-13,2031,Candidate Master
79,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,290,4,+7,2044,Candidate Master
78,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,552,2,+23,2037,Candidate Master
77,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,475,2,-28,2014,Candidate Master
76,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,1396,3,-79,2042,Candidate Master
75,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,58,4,+107,2121,Master
74,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,335,1,+33,2014,Candidate Master
73,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,373,4,+21,1981,Candidate Master
72,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,774,2,-51,1960,Candidate Master
71,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,398,3,+16,2011,Candidate Master
70,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,698,2,-2,1995,Candidate Master
69,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,763,4,-32,1997,Candidate Master
68,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,441,4,-2,2029,Candidate Master
67,Codeforces Global Round 15,Jul/25/2021 17:35,552,5,+68,2031,Candidate Master
66,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,3154,3,-136,1963,Candidate Master
65,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,562,5,+26,2099,Candidate Master
64,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,40,4,+161,2073,Candidate Master
63,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,793,1,-41,1912,Candidate Master
62,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,476,4,+15,1953,Candidate Master
61,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,726,3,-8,1938,Candidate Master
