#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
24,Dytechlab Cup 2022,Oct/07/2022 17:35,387,4,-2,2284,Master
23,"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,479,1,-82,2286,Master
22,Codeforces Round 684 (Div. 1),Nov/17/2020 17:35,225,3,+11,2368,International Master
21,"Codeforces Round 683 (Div. 1, by Meet IT)",Nov/15/2020 17:35,106,4,+102,2357,International Master
20,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,264,3,+55,2255,Master
19,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,280,4,+66,2200,Master
18,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,979,1,-96,2134,Master
17,Codeforces Round 641 (Div. 1),May/12/2020 15:35,402,3,+13,2230,Master
16,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,687,4,-33,2217,Master
15,"Codeforces Round 602 (Div. 1, based on Technocup 2020 Elimination Round 3)",Nov/24/2019 11:05,313,4,-73,2250,Master
14,Codeforces Round 601 (Div. 1),Nov/19/2019 17:35,258,3,-36,2323,International Master
13,Codeforces Global Round 4,Jul/20/2019 18:35,225,6,-9,2359,International Master
12,Codeforces Global Round 2,Apr/06/2019 14:35,317,5,-39,2368,International Master
11,Hello 2019,Jan/04/2019 17:45,166,5,+22,2407,Grandmaster
10,Good Bye 2018,Dec/30/2018 17:35,227,5,+15,2385,International Master
9,Codeforces Round 526 (Div. 1),Dec/10/2018 19:35,30,3,+120,2370,International Master
8,Mail.Ru Cup 2018 Round 3,Nov/25/2018 19:35,151,5,+33,2250,Master
7,Mail.Ru Cup 2018 Round 2,Nov/10/2018 17:35,112,4,+78,2217,Master
6,Mail.Ru Cup 2018 Round 1,Oct/18/2018 19:35,81,5,+135,2139,Master
5,"Manthan, Codefest 18 (rated, Div. 1 + Div. 2)",Sep/02/2018 17:35,423,4,+26,2004,Candidate Master
4,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",Aug/27/2018 19:35,526,3,+1,1978,Candidate Master
3,Educational Codeforces Round 49 (Rated for Div. 2),Aug/18/2018 17:35,119,5,+86,1977,Candidate Master
2,"Codeforces Round 504 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/17/2018 17:35,503,3,+53,1891,Expert
1,Educational Codeforces Round 48 (Rated for Div. 2),Aug/03/2018 17:45,11,5,+338,1838,Expert
